00,00,00,00,00,00,00,00,00,00,00,11,11,11,11,11,11,11,11,11,11,11,11,00,00,00
00,00,00,00,00,00,00,00,00,00,00,11,11,11,11,11,11,11,11,11,11,11,11,00,00,00
00,00,00,00,00,00,00,00,00,00,00,11,11,11,11,11,11,11,11,11,11,11,11,00,00,00
00,00,00,00,00,00,00,00,00,00,00,11,11,11,11,00,00,00,00,00,00,00,11,00,00,00
00,00,00,00,00,00,00,00,00,00,00,11,11,11,11,00,00,00,00,00,00,00,11,00,00,00
00,00,00,00,00,00,00,00,00,00,00,11,00,00,11,11,11,11,11,00,00,00,11,00,00,00
00,00,00,00,00,11,11,11,11,11,11,11,00,00,11,00,11,11,11,00,00,00,11,00,00,00
00,00,00,00,00,11,11,11,11,11,11,11,00,00,11,00,11,11,11,00,00,00,11,00,00,00
00,00,00,00,00,11,11,11,11,11,11,11,00,00,11,00,11,00,00,00,00,00,11,00,00,00
00,00,00,00,00,11,00,00,00,00,00,00,00,00,11,00,11,00,00,00,00,00,11,00,00,00
00,00,00,00,00,11,00,00,00,00,00,00,00,00,11,00,11,00,00,00,00,00,11,00,00,00
11,11,11,11,11,11,00,00,00,00,00,00,00,00,11,00,11,00,00,00,00,00,11,00,00,00
11,11,11,11,11,11,00,00,00,00,00,00,00,00,11,11,11,11,11,11,00,11,11,11,11,11
11,11,11,11,11,11,00,00,00,00,00,00,00,00,11,11,11,11,11,11,00,11,11,11,11,11
11,00,00,00,00,00,00,00,00,00,00,00,00,00,11,11,11,11,11,11,00,11,11,11,11,11
11,00,00,00,00,00,00,00,00,00,00,00,00,00,11,00,00,00,00,00,00,00,00,00,00,11
11,00,00,11,11,11,00,00,00,00,00,00,00,00,11,00,00,00,00,00,00,00,00,00,00,11
11,00,00,11,11,11,11,11,11,11,11,11,11,11,11,11,11,00,11,11,11,11,11,11,11,11
11,00,00,11,11,11,11,11,11,11,11,11,11,11,11,11,11,00,11,11,00,00,00,00,00,00
11,00,00,11,11,11,11,11,11,11,11,11,11,11,11,11,11,00,11,11,00,00,00,00,00,00
11,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,11,00,00,00,00,00,00
11,00,00,00,00,00,00,00,11,11,11,11,00,00,00,00,00,98,00,11,00,00,00,00,00,00
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,00,00,00,00,00,00
